id,resource_type,title,description,start_date,end_date,latitude,longitude,author,evacuated,homeless,injuries,deaths,insured_cost_aud,trains_damaged,trains_destroyed,homes_damaged,homes_destroyed,buildings_damaged,buildings_destroyed,industrial_premises_destroyed,commercial_premises_damaged,commercial_premises_destroyed,bridges_damaged,bridges_destroyed,aircraft_damaged,aircraft_destroyed,motor_vehicles_damaged,motor_vehicles_destroyed,water_vessels_damaged,water_vessels_destroyed,businesses_damaged,businesses_destroyed,farms_damaged,farms_destroyed,crops_destroyed,livestock_destroyed,government_assistance_aud,regions_affected,subjects,source_url,south_australia_affected
97,Disaster Event,Epidemic - Spanish Flu,"The Spanish flu swept across the world in three waves between 1918 and 1919 and killed up to three times the amount of people that died in World War One. It tended to stay in a location for up to 12 weeks and then would suddenly disappear, almost as quickly as it had arrived, only to return several months later.  The Spanish flu reached Australia in 1919; it was held at bay partly by strict maritime quarantines implemented by the government. The virus began in Victoria, moved to New South Wales then to the rest of Australia. By the end of 1919 (when the Australian population was just over five million), approximately 10,000 Australians, mostly young adults, between the ages of 15 and 35 had died of influenza.",1918-01-01,1919-12-31,-37.81215668,144.9628906,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,Australian Capital Territory;Northern Territory;Queensland;New South Wales;South Australia;Western Australia;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=97,Y
98,Disaster Event,Urban Fire - Adelaide Cafe,"A fire occurred on 27 October 1948 at an Adelaide restaurant / cafe which was a three storey building in King William Street. Flames from a griller on the ground floor ignited the ventilation flues and flames spread quickly to the upper floors. The manager arranged evacuation of the diners without incident. The restaurant staff, approximately 40 altogether, were trapped for a time on the lower floors. There were five fatalities.",1948-10-27,1948-10-27,-34.92608643,138.5995636,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=98,Y
102,Disaster Event,Environmental - Drought 1918,"This drought occurred across most of Australia between 1918 and 1920 is considered to be one of the nation's major droughts.  New South Wales  The drought was particularly severe in the northern, western and central parts of the state. Bushfires and heatwaves were common. By February 1919 Sydney was on water restrictions. In October 1919 the government paid a £1 million grant to farmers, due to low yields on wheat, reduction in butter production and sheep losses were approximately 10 million.  Tasmania  The orchards in the Derwent Valley were hard hit and in many areas water was carted by rail.  Queensland  By the end of 1918 the whole of the state was affected. Many rivers dried up. Darling Downs and surrounding areas were worst hit. The farming sector was severely impacted with reduced production in wheat, sugar and butter; and sheep losses totalled approximately 1.5 million.  Victoria  The drought impact was much less severe in Victoria than the other states.  South Australia  Lake Eyre and surrounding districts were affected the most. Some crops were a total failure resulting in a low wheat yield. Many sheep and cattle perished.  Western Australia  Sheep and cattle losses were high in the Fortescue area. Droughts affects were also significant in the Kimberley and around Murchison.  Northern Territory  The drought hit the whole of the Territory but conditions were worse in the central parts reaching disaster levels when the number of sheep fell by 85 per cent.",1918-01-01,1920-01-02,-28.13012886,137.2961426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=102,Y
106,Disaster Event,Transport - Parafield Light Aircraft Collision,"On 1 February 1976, a Piper PA28-180 and a Cessna 172M aircraft collided in flight at a height of approximately 250 ft while both aircraft were on final approach for landing at Parafield Airport Adelaide. The aircraft remained locked together after the collision and dived almost vertically to the ground 835 m before the runway. The sole occupant of the Piper and four occupants of the Cessna were killed.",1976-02-01,1976-02-01,-34.788396,138.634071,,,,,5,,,,,,,,,,,,,,2,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=106,Y
110,Disaster Event,Transport - Leigh Creek Light Aircraft Crash,"On 25 January 1972, a charter flight with a pilot and three passengers was en route to Adelaide. The take-off was made to the south in clear conditions. After take-off the pilot made a shallow turn to the left, low to the ground. Three hundred feet further on, the aircraft struck a radio masts guy wires. The aircraft rolled to the left and pitched into a steep dive, striking the ground 400 ft beyond the point of impact with the wire. All on board died.",1972-01-25,1972-01-25,-30.59736,138.421984,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=110,Y
114,Disaster Event,Flood - Eastern Australia,"In January 1974 Queensland, and to some extent other states, incurred significant flooding, with large areas of the country inundated. In Brisbane a very wet 1973 occurred and the rains had already resulted in some flooding when, on 24 January, cyclone Wanda hit the north of the city. Wanda came with relatively little wind, but produced record rains over the Australia Day holiday. Over the long weekend, Brisbane received 580 mm of rain, with much higher falls over river catchments near the city (1,300 mm in five days at Mt Glorious). Approximately 40 houses situated on the banks of the rivers and creeks were washed away as rivers flooded to their highest levels since the 1893 floods.  Fourteen lives were lost in the floods and many people had to be rescued from rising waters.  Record floods were also reported in New South Wales with much of the state affected. In May 1974, record flood levels occurred in the Ovens and Maribyrnong rivers in Victoria. Many settlements in South Australia were also badly affected; Oodnadatta, Marree, Moomba, Iron Knob, Andamooka and Coober Pedy were cut off by flood waters. In Tasmania, floods in the St Marys area in March - April caused extensive damage.  The Insurance Council of Australia estimated the 1974 damage at $68 million, with the 2011 estimated normailsed cost of $2645 million.",1974-01-25,1974-04-01,-27.47084808,153.0234222,,,,,14,68000000,,,,,,,,,,,,,,,,,,,,,,,,,Tasmania;Queensland;New South Wales;South Australia;Victoria,,http://www.emknowledge.gov.au/resource/?id=114,Y
131,Disaster Event,Bushfire - Ash Wednesday,"Prior to the events on Ash Wednesday a ten month drought had dried the eastern Australian forests out. On 16 February itself, there was low humidity, heat wave conditions and strong to gale force winds. Temperatures varied between high thirties and mid forties over most of eastern South Australia and Victoria with relative humidity generally less than 15 per cent.  The Victorian bushfire season had started in November 1982. There were 854 bushfires reported at this time including, Ballan, Mount Macedon on 1 February, Cann River and Mount Donna Buang.  On early Ash Wednesday morning there were 104 fires already burning in Victoria most controlled or contained, it was only after 2.00 pm that the situation exploded.  The Victorian fires formed several complexes.  1. Western district near Warrnambool. This fire started from a defective private power line. The resulting fire front was kilometres wide and moving at frightening speed. A cool change came through at 5.00 pm and the wind changed to the south-west. The fire headed toward the town of Terang. The fire passed the town to its north and was brought under control the next day. In total nine people died, 50,000 hectares burnt, 157 houses destroyed and 19,300 livestock was lost.  Another person died near Branxholme from a smaller fire caused by power line fault.  2. East Trentham - Macedon fire complex. This fire began around 2.00 pm near East Trentham due to two powerlines touching and sparking. The fire moved to the Wombat State Forest and burnt much of Bullengarook. The fire stalled for a while but upon wind change to the south-west the fire picked up again and headed toward Woodend with a 7 m fire front at 8.30 pm. It reached Macedon where people and animals sheltered in the Hotel protected by volunteers. The rest of the town was annihilated. After reaching the top of Mount Macedon it was controlled in an area that was previously burnt on 1 February. Seven people died, 20,000 hectares burnt, 200 homes destroyed in Macedon, 150 on Mount Macedon, 50 in Bullengarook and 20 in Woodend.  3. Otways complex. The fire broke out approximately 3.00 pm at Deans Marsh and moved toward Lorne eventually onto the ridges above the town on and down to the sand dunes with many people taking refuge in the sea. The fire moved to Aireys Inlet where the fibro houses were hit by walls of flame and a gigantic firestorm. The fire moved at extraordinary speed and next hit was Anglesea, where houses were lost but the main part of town was saved. The fire burnt on through the night toward Jan Juc and Torquay and was eventually contained early morning near Bellbrae. Three people were killed and 578 houses and other buildings were lost.  4. Upper Beaconsfield - Cockatoo complex. This fire began in Belgrave Heights south of Mount Dandenong. Half an hour later 10 km away, a fire started in Cockatoo and remained static until later that night. The first fire moved 15 km toward Berwick and Pakenham and firefighters were just beginning to gain control when the wind change came through at 8.30 pm redirecting the fire towards Upper Beaconsfield. Firefighters were caught in terrible circumstances leading to deaths. The Cockatoo fire began to flare at 7.30 pm. The fire went right through the town of Cockatoo as fire trucks had been called away to other fires. There were reports of women and children being sheltered and saved at a local kindergarten. The kindergarden building was later recorded by Heritage Victoria as a building of significance to be protected. In total, 27 people died, 100 were injured and 535 houses and buildings destroyed.  5. Warburton complex. This fire erupted in the foothills of mountain ash forests. The fire began in Millgrove at 7.30 pm and quickly progressed to Warburton. Approximately 200 people took shelter at the local oval and a creek in underground tunnel. Thirty houses were destroyed.  In Victoria in summary, 47 people died, 150,000 hectares burnt, 1620 houses burnt and more than 1500 other buildings were destroyed and 32,400 livestock lost.  South Australia  Major fires were burning by noon on Ash Wednesday, particularly in the Adelaide Hills, Clare Valley 120 km north of Adelaide, and around Mount Gambier, the south-east of the state. By 3.00 pm the situation was extreme. The cold front then hit with winds at 90 to 100 km per hour and the intensity of the fires worsened again. By 9.00 pm rain began to fall and the fires in the Adelaide hills came under control. The fires near Mount Gambier took longer. In total 28 people died, including three CFS volunteer fire fighters, more than 1500 people injured, 383 homes and 200 other buildings destroyed and 160,000 hectares burnt.  The Insurance Council of Australia estimated the 1983 damage for Victoria at $138 million and South Australia at $38 million with the 2011 estimated normalised cost of $1489 million for Victoria and $307 million for South Australia.   ",1983-02-16,1983-02-18,-37.40233612,144.5871124,,,9000,1500,75,176000000,,,,2000,,,,,,,,,,,,,,,,,,,30000,,Victoria;South Australia,,http://www.emknowledge.gov.au/resource/?id=131,Y
143,Disaster Event,Shipwreck - Bunyip,"The Bunyip was a Murray River paddle steamer. Together with two barges, it was completely destroyed by fire while steaming down the Murray River 11 km above the Chowilla Station Murray River, on 8 December 1863. Four people died and most others onboard sustained burns.",1863-08-12,1863-08-12,-34.01965714,140.8323669,,,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=143,Y
152,Disaster Event,Environmental - Tasmania and Victoria Drought,"During the period October 1996 to January 2000 parts of southern and eastern Victoria, the southern Eyre Peninsula of South Australia, the central highlands of Queensland and central and north-eastern parts of Tasmania experienced serious to severe rainfall deficiencies. In some of these regions the rainfall was the lowest on record.  Rainfall deficiencies east of Melbourne for the ten months between April 1999 and January 2000 were severe. Deficiencies around Cape Otway and around Portland in western Victoria were also serious, with January totals being approximately 60 per cent of the average. Below average to average rainfall totals made little change to the deficiencies near Emerald in central Queensland, in the south-east of Tasmania around Hobart and in the north-west, south of Burnie.  Average to above average rainfall in January removed the existing rainfall deficiencies near Ceduna in South Australia.",1996-10-01,2000-09-30,-38.33088303,141.6000366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tasmania;Victoria;South Australia,,http://www.emknowledge.gov.au/resource/?id=152,Y
158,Disaster Event,Environmental - Drought 1913,"This drought is often referred to as the '1914 Drought'. Across large areas of the southern states the period May through to October 1914 remains the driest period on record. Although often spared when the eastern states are in severe drought, the south-west corner of Western Australia received less than half the normal rainfall during the critical May - October months, all but destroying the wheat crop for the season in some districts. It was the lowest Western Australian wheat yield of the century. In terms of livestock seven million sheep were lost respectively in New South Wales and Queensland, approximately three million sheep in Victoria and cattle losses totalled just over one million in various states. The Murray river ceased flowing at Swan Hill and Tasmania experienced severe water shortages.  In the April of 1915 the drought began to break in South Australia, Tasmania, and most of Victoria, and May in New South Wales. The drought lasted until July in southern Queensland, and to the end of the year in northern and central Queensland.",1913-01-01,1915-12-31,-35.33641434,143.5621185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=158,Y
182,Disaster Event,Shipwreck - Star of Greece,"The Star of Greece was a three masted ship. It wrecked in high seas near Port Willunga, South Australia 13 July 1888. Of the 28 seaman,17 died even though the wreck occurred 200 m from shore. Rescue efforts from Port Adelaide were unable to cope with the raging seas. The search for bodies among the wreckage, cargo and provisions along the beach was carried out for days.",1888-13-07,1888-13-07,-35.28150177,138.416748,,,,,17,,,,,,,,,,,,,,,,,,1,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=182,Y
188,Disaster Event,Severe Storm - Adelaide,"On 6 December 1986 two severe storms occurred over Adelaide and region with strong winds heavy and rain. Most damage was caused by wind and there was some flooding reported. Some areas in Adelaide Hills and the Far-North of the state were flooded.  The Insurance Council of Australia estimated the 1986 damage at $10 million, with the 2011 estimated normalised cost of $50 million.",1986-12-06,1986-12-08,-34.92745972,138.5999908,,,50,,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=188,Y
194,Disaster Event,Epidemic - Bubonic Plague Sydney,"Between 1900 and 1925, there were 12 major plague outbreaks in 27 localities of Australia introduced by infected rats from overseas ships. According to Government health archives, there were 1371 reported cases of plague and 535 deaths. Sydney was most affected, but the disease also spread to Queensland with occasional cases found in Melbourne, Adelaide, Perth, Kalgoorlie and Fremantle.",1900-01-19,1925-01-01,-33.87497711,151.2158203,,,,1371,535,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland;New South Wales;South Australia;Western Australia;Victoria,,http://www.emknowledge.gov.au/resource/?id=194,Y
232,Disaster Event,Industrial - Cleve Structure Collapse,"On 6 August 1996, up to 150 people were sent crashing to the ground after seating scaffolding collapsed during a circus performance in Cleve, Eyre Peninsula in South Australia. Approximately 50 people were injured with many requiring hospitalisation.",1996-08-06,1996-08-06,-33.70070648,136.4931488,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=232,Y
233,Disaster Event,Earthquake - Adelaide,"On 1 March 1954 for 20 to 30 seconds, a 5.5 Richter Scale earthquake caused damage to 3000 buildings including collapsed and cracked walls, smashed windows and collapsed chimneys mainly in the southern suburbs of Adelaide. Some houses were reduced to rubble. The earthquake, which started at approximately 3.45 am, caused some metropolitan areas to lose power for two hours. Several big city buildings were cracked and damaged. It also resulted in three people being seriously injured. At the time, damage from the earthquake was estimated at approximately £3 million.",1954-03-01,1954-03-01,-34.97600174,138.6254883,,,,3,,,,,,,3000,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=233,Y
235,Disaster Event,Bushfire - Black Sunday Mt Lofty Ranges,"The fire known as Black Sunday occurred on 2 January 1955. The Mount Lofty Ranges east of Adelaide was devastated by fires. Adelaide reached a maximum temperature of 43 °C at 1.00 pm. Wind gusts of 100 km per hour were recorded with higher velocities in the hills. The fire was particularly intense near Upper Sturt where the railway station and several houses were destroyed as well as Crafers, Aldgate, Loftia Park resort; and Marble Hill where the governors' summer residence was burnt down. Two firefighters were killed and 40,000 ha burnt out. The damage bill was estimated at £4 million.",1955-01-02,1955-01-02,-35.00764465,138.7087402,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=235,Y
250,Disaster Event,Epidemic - Poliomyelitis,"Between the 1930's and 1960's there were approximately 40,000 cases of paralytic poliomyelitis recorded in Australia. Actual numbers of the polio infection could be up to 100 times greater. Only approximately one in 100 cases of poliomyelitis causes complete paralysis thereby requiring hospitalisation and mandatory reporting. However, a large percentage of the 'non-paralytic' and non-reported polio infections would still have caused considerable damage to the motor neurons.",1930-01-01,1959-01-01,-27.47023964,153.0234222,,,,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Northern Territory;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=250,Y
251,Disaster Event,Environmental - Heatwave Dec 1911,"In the summer of 1911 - 1912 it is estimated that 143 people died as a result of the heatwave.  Mortality during heatwaves can be difficult to measure, as deaths tend to occur from exacerbations of chronic medical conditions as well as direct heat related illness, particularly in the frail and elderly. Excess mortality provides a measure of impact, but does not provide information specifically on underlying cause of death (Victorian Government, January 2009 Heatwave in Victoria: an Assessment of Health Impacts).  It is imperative that heatwaves are included in the disaster information, however, for reasons outlined above accurate statistics as to the actual numbers of deaths and injuries in most instances cannot be provided.",1911-12-01,1912-02-28,-27.15840912,132.7209015,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=251,Y
264,Disaster Event,Shipwreck - Koenig Willem ll,"The Koenig Willem II was a Dutch barque en route from Hong Kong that wrecked ashore in a gale, east of Robe on Long Beach Guichen Bay, South Australia, 30 June 1857. Of the 25 crew who left the ship only nine passengers managed to reach the shore.",1857-30-06,1857-30-06,-37.17345047,139.7275543,,,,,16,,,,,,,,,,,,,,,,,,1,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=264,Y
275,Disaster Event,Environmental - Federation Drought,"The Federation Drought began in 1895 and reached its peak in 1901 and 1902.  During the drought river systems across the nation suffered, notably the Darling River which virtually ran dry at Bourke, New South Wales. In Victoria, the Murray River ran dry through the towns of Mildura, Balranald and Deniliquin causing river transport to suffer or cease.  Except for Queensland, most parts of the nation received reasonable rain in 1900 and early 1901, however very dry weather set in again across eastern Australia during spring 1901. The drought broke mid December 1902 when heavy rain fell in Victoria. Rain extended to New South Wales and southern Queensland, while northern Queensland had reasonable falls from December onwards.  Economic depression and labour strikes added to the affect of the drought. As a result of the drought sheep and cattle numbers fell from 91 to 54 million, and 11.8 to 7 million respectively. Rabbit numbers increased to plague proportions, resulting in some farmers losing everything and walking away from their properties.",1895-01-01,1902-01-01,-30.04769897,145.9396362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=275,Y
283,Disaster Event,Shipwreck - Pareora,The Pareora was a steel singe screw steamship. It left Port Pirie with a cargo of zinc ore for Hobart on 16 September 1919 when it wrecked on 19 September 1919 at Althorpe Islands due to navigational problems. It had grazed a reef 1km west of the islands before it struck a rock known locally as the 'monument'. It was swept by heavy seas and broke up quickly. Eleven people died. A relief boat was sent from Port Adelaide while the ketch Broughton and cutter Zephyr headed a land and sea search for survivors and those missing. The Zephyr rescued seven people.,1919-09-19,1919-09-19,-34.41597366,137.0214844,,,,7,11,,,,,,,,,,,,,,,,,,1,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=283,Y
284,Disaster Event,Shipwreck - Admella,"The SS Admella was a steamship with an iron single screw. It wrecked on Carpenters Reef north-west of Cape Northumberland South Australia 6 August 1859. Admella had left Adelaide for Melbourne on 5 August 1859 with 84 passengers and a crew of 29. The cargo consisted of copper, flour, general merchandise and horses. Admella struck rocks and within 15 minutes it broke into three sections. Survivors clung to wreckage for days and some made it to safety. Rescue efforts were compromised by the heavy seas. In total 89 people were killed.",1859-06-08,1859-06-08,-38.06606674,140.6667175,,,,24,89,,,,,,,,,,,,,,,,,,,,,,,,,,South Australia,,http://www.emknowledge.gov.au/resource/?id=284,Y
288,Disaster Event,Environmental - World War II Drought,"Drought conditions prevailed over eastern Australia from 1937 to 1945. They first emerged at serious levels in 1937, with New South Wales, Victoria, much of Queensland and parts of Western Australia affected. Isolated parts of New South Wales, notably in the central west, suffered record low rainfall. In 1938 there was further deterioration in New South Wales and Victoria and it also spread to eastern South Australia and the south-west grain growing region of Western Australia where wheat yields plummeted to their lowest level since 1914.  In Victoria, a very dry six month period provided the right conditions for the disastrous Black Friday bushfires in January 1939. Heavy rain fell in late February 1939 over Victoria, South Australia and New South Wales, and for the remainder of the year abundant rain fell over eastern and central Australia. However dry weather occurred again and 1940 was one of the driest years of the century over most of the southern parts of the country. Dams were empty in New South Wales and Brisbane had water restrictions. January 1941 saw rain again, but by the second half of that year was again very dry. The following 12 months were good for general rain, but again dry conditions returned in 1943, and were worse again in 1944 when a failure of the wheat crop occurred in several places. The drought continued into 1945 and large rivers such as the Hunter were virtually dry. By April 1945 most Victorian water storage facilities were empty, the Murray river ceased flow at Echuca and Adelaide faced water shortages.  Financial losses were severe during this drought. The number of sheep that died in 1945 alone was 10 million in New South Wales. In 1946 Queensland financial losses caused by the drought were estimated at £25 million. Approximately four million sheep died in South Australia over 1944 and 1945.  The drought finally ended in the southern states during the winter of 1945 but continued into 1946 in northern New South Wales and southern Queensland. In 1947 significant rainfall ended the long drought.",1939-01-01,1945-06-30,-35.11990738,147.3596191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria,,http://www.emknowledge.gov.au/resource/?id=288,Y
