Towns and Suburbs,System
Erindale,Eastern metro Adelaide suburbs
Erith,Barossa
Ernabella,Pukatja
Ethelton,Western metro Adelaide suburbs
Eudunda,Morgan/Northern
Evandale,Western metro Adelaide suburbs
Evanston,Barossa (supplying Gawler and surrounds)
Evanston Gardens,Barossa (supplying Gawler and surrounds)
Evanston Park,Barossa (supplying Gawler and surrounds)
Evanston South,Barossa (supplying Gawler and surrounds)
Everard Central,Morgan/Northern
Everard Park,Central metro Adelaide suburbs
Exeter,Western metro Adelaide suburbs
Fairview Park,Anstey Hill (supplying north eastern Adelaide)
False Bay,Morgan/Northern
Farrell Flat,Morgan/Northern
Felixstow,Western metro Adelaide suburbs
Ferryden Park,Western metro Adelaide suburbs
Findon,Western metro Adelaide suburbs
Firle,Eastern metro Adelaide suburbs
Fisherman Bay,Morgan/Northern
Fitzroy,Western metro Adelaide suburbs
Flagstaff Hill,Central metro Adelaide suburbs
Flinders Park,Central metro Adelaide suburbs
Forest Range,Summit
Forestville,Central metro Adelaide suburbs
Freeling,Swan Reach
Fregon,Kaltjiti
Frewville,Central metro Adelaide suburbs
Fulham,Central metro Adelaide suburbs
Fulham Gardens,Central metro Adelaide suburbs
Fullarton,Central metro Adelaide suburbs
Garden Island,Western metro Adelaide suburbs
Gawler,Barossa (supplying Gawler and surrounds)
Gawler Belt,Barossa (supplying Gawler and surrounds)
Gawler East,Barossa (supplying Gawler and surrounds)
Gawler South,Barossa (supplying Gawler and surrounds)
Gawler West,Barossa (supplying Gawler and surrounds)
Georgetown,Morgan/Northern
Gepps Cross,Western metro Adelaide suburbs
Geranium,Geranium
Geranium Plains,Morgan/Northern
Gerard,Gerard
Germein Bay,Morgan/Northern
Gilberton,Western metro Adelaide suburbs
Gilles Plains,Eastern metro Adelaide suburbs
Gillman,Western metro Adelaide suburbs
Gladstone,Morgan/Northern
Glandore,Central metro Adelaide suburbs
Glanville,Western metro Adelaide suburbs
Glen Osmond,Central metro Adelaide suburbs
Glenalta,Central metro Adelaide suburbs
Glenelg,Central metro Adelaide suburbs
Glenelg East,Central metro Adelaide suburbs
Glenelg North,Central metro Adelaide suburbs
Glenelg South,Central metro Adelaide suburbs
Glengowrie,Central metro Adelaide suburbs
Glenside,Central metro Adelaide suburbs
Glenunga,Central metro Adelaide suburbs
Globe Derby Park,Northern metro Adelaide suburbs
Glossop,Glossop
Glynde,Western metro Adelaide suburbs
Golden Grove,Anstey Hill (supplying north eastern Adelaide)
Goodwood,Central metro Adelaide suburbs
Goolwa,Myponga (supplying Victor Harbor and the Fleurieu)
Grange,Western metro Adelaide suburbs
Green Fields,Northern metro Adelaide suburbs
Greenacres,Western metro Adelaide suburbs
Greenock,Swan Reach
Greenwith,Northern metro Adelaide suburbs
Gulfview Heights,Anstey Hill (supplying north eastern Adelaide)
Gulnare,Morgan/Northern
Gum Creek,Morgan/Northern
Gumeracha,Summit
Hackham,Central metro Adelaide suburbs
Hackham West,Central metro Adelaide suburbs
Hackney,Western metro Adelaide suburbs
Hahndorf,Summit
Haines,Penneshaw
Halbury,Morgan/Swan Reach
Hallett Cove,Central metro Adelaide suburbs
Hambridge,Morgan/Eyre
Hamley Bridge,Barossa
Hampden,Morgan/Northern
Hampstead Gardens,Western metro Adelaide suburbs
Hansborough,Morgan/Northern
Hanson,Morgan/Northern
Happy Valley,Central metro Adelaide suburbs
Hart,Morgan/Northern
Haslam,Eyre South/Morgan
Hawker,Hawker
Hawthorn,Central metro Adelaide suburbs
Hawthorndene,Central metro Adelaide suburbs
Hayborough,Myponga (supplying Victor Harbor and the Fleurieu)
Hazelwood Park,Central metro Adelaide suburbs
Heathfield,Summit
Heathpool,Central metro Adelaide suburbs
Hectorville,Eastern metro Adelaide suburbs
Hendon,Western metro Adelaide suburbs
Henley Beach,Central metro Adelaide suburbs
Henley Beach South,Central metro Adelaide suburbs
Hewett,Barossa (supplying Gawler and surrounds)
Highbury,Anstey Hill (supplying north eastern Adelaide)
Highgate,Central metro Adelaide suburbs
Hill River,Morgan/Northern
Hillbank,Northern metro Adelaide suburbs
Hillcrest,Eastern metro Adelaide suburbs
Hillier,Barossa (supplying Gawler and surrounds)
Hilton,Central metro Adelaide suburbs
Hindmarsh,Western metro Adelaide suburbs
Hindmarsh Island,Myponga (supplying Victor Harbor and the Fleurieu)
Hindmarsh Valley,Myponga (supplying Victor Harbor and the Fleurieu)
Holden Hill,Eastern metro Adelaide suburbs
Hope Gap,Morgan/Northern
Hope Valley,Eastern metro Adelaide suburbs
Hornsdale,Morgan/Northern
Horsnell Gully,Eastern metro Adelaide suburbs
Houghton,Anstey Hill (supplying north eastern Adelaide)
Hove,Central metro Adelaide suburbs
Hoyleton,Morgan/Swan Reach
Huddleston,Morgan/Northern
Huntfield Heights,Central metro Adelaide suburbs
Hyde Park,Central metro Adelaide suburbs
Indulkana,Indulkana
Ingle Farm,Eastern metro Adelaide suburbs
Inglewood,Anstey Hill (supplying north eastern Adelaide)
Iron Knob,Morgan/Northern
Ironbank,Happy Valley
Ironbank,Summit
Island Beach,Penneshaw
Iwantja,Indulkana
Jamestown,Morgan/Northern
Jamieson,Morgan/Eyre
Jervois,Tailem Bend
Joslin,Western metro Adelaide suburbs
Kadina,Morgan/Northern
Kadina,Morgan/Swan Reach
Kalangadoo,Kalangadoo
Kalka,Kalka
Kaltjiti,Kaltjiti
Kangaroo Flat,Barossa
Kangaroo Head,Penneshaw
Kanmantoo,Kanmantoo
Kanpi,Murputja
Kapunda,Swan Reach
Karoonda,Tailem Bend
Keith,Tailem Bend
Kelly,Morgan/Eyre
Kensington,Western metro Adelaide suburbs
Kensington Gardens,Eastern metro Adelaide suburbs
Kensington Park,Eastern metro Adelaide suburbs
Kent Town,Western metro Adelaide suburbs
Kersbrook,Summit
Keswick,Central metro Adelaide suburbs
Keswick Terminal,Central metro Adelaide suburbs
Keyneton,Swan Reach
Ki Ki,Tailem Bend
Kidman Park,Central metro Adelaide suburbs
Kielpa,Morgan/Eyre
Kilburn,Western metro Adelaide suburbs
Kilkenny,Western metro Adelaide suburbs
Kimba,Morgan/Eyre
Kings Park,Central metro Adelaide suburbs
Kingscote,Middle River
Kingston On Murray,Moorook
Kingston Park,Central metro Adelaide suburbs
Kingston South East,Kingston SE
Kingswood,Central metro Adelaide suburbs
Klemzig,Western metro Adelaide suburbs
Koolunga,Morgan/Northern
Koonoona,Morgan/Northern
Kudla,Barossa (supplying Gawler and surrounds)
Kurralta Park,Central metro Adelaide suburbs
Kyancutta,Eyre South/Morgan
Kybunga,Morgan/Northern
Lake View,Morgan/Northern
Lameroo,Lameroo
Langhorne Creek,Summit
Largs Bay,Western metro Adelaide suburbs
Largs North,Western metro Adelaide suburbs
Laura,Morgan/Northern
Leabrook,Central metro Adelaide suburbs
Leasingham,Morgan/Northern
Leawood Gardens,Central metro Adelaide suburbs
Leigh Creek,Leigh Creek
Leighton,Morgan/Northern
Lenswood,Summit
Lewiston,Barossa
Lincoln Gap,Morgan/Northern
Linden Park,Central metro Adelaide suburbs
Lindley,Morgan/Northern
Lipson,Eyre South
Littlehampton,Summit
Lobethal,Summit
Lochiel,Morgan/Northern
Lochiel,Morgan/Swan Reach
Lock,Morgan/Eyre
Lockleys,Central metro Adelaide suburbs
Lonsdale,Central metro Adelaide suburbs
Louth Bay,Eyre South
Lower Broughton,Morgan/Northern
Lower Hermitage,Anstey Hill (supplying north eastern Adelaide)
Lower Inman Valley,Myponga (supplying Victor Harbor and the Fleurieu)
Lower Light,Barossa
Lower Mitcham,Central metro Adelaide suburbs
Loxton,Loxton
Lucindale,Lucindale
Lyndhurst,Leigh Creek
Lyndoch,Swan Reach
Lynton,Central metro Adelaide suburbs
MacDonald Park,Northern metro Adelaide suburbs
Magill,Eastern metro Adelaide suburbs
Maitland,Morgan/Swan Reach
Mallala,Barossa
Malvern,Central metro Adelaide suburbs
Mambray Creek,Morgan/Northern
Manna Hill,Mannahill
Mannahill,Mannahill
Manningham,Western metro Adelaide suburbs
Mannum,Mannum
Mansfield Park,Western metro Adelaide suburbs
Mantung,Woolpunda
Marden,Western metro Adelaide suburbs
Marino,Central metro Adelaide suburbs
Marion,Central metro Adelaide suburbs
Marla,Marla
Marleston,Central metro Adelaide suburbs
Marrabel,Swan Reach
Marree,Marree
Marryatville,Central metro Adelaide suburbs
Maslin Beach,Southern metro Adelaide suburbs
Maude,Morgan/Northern
Mawson Lakes,Northern metro Adelaide suburbs
Maylands,Western metro Adelaide suburbs
Mccracken,Myponga (supplying Victor Harbor and the Fleurieu)
McLaren Flat,Southern metro Adelaide suburbs
McLaren Vale,Southern metro Adelaide suburbs
Medindie,Western metro Adelaide suburbs
Medindie Gardens,Western metro Adelaide suburbs
Melrose,Melrose
Melrose Park,Central metro Adelaide suburbs
Melton,Morgan/Swan Reach
Meningie,Tailem Bend
Merriton,Morgan/Northern
Middleton,Myponga (supplying Victor Harbor and the Fleurieu)
Milang,Summit
Mile End,Central metro Adelaide suburbs
Mile End South,Central metro Adelaide suburbs
Millicent,Millicent
Millswood,Central metro Adelaide suburbs
Mimili,Mimili
Minlaton,Morgan/Swan Reach
Minnipa,Eyre South/Morgan
Mintaro,Morgan/Northern
Miranda,Morgan/Northern
Mitcham,Central metro Adelaide suburbs
Mitchell Park,Central metro Adelaide suburbs
Moana,Southern metro Adelaide suburbs
Moculta,Swan Reach
Modbury,Eastern metro Adelaide suburbs
Modbury Heights,Anstey Hill (supplying north eastern Adelaide)
Modbury North,Eastern metro Adelaide suburbs
Monarto,Murray Bridge
Monash,Glossop
Montacute,Eastern metro Adelaide suburbs
Monteith,Murray Bridge
Moonta,Morgan/Swan Reach
Moorook,Moorook
Morgan,Morgan/Northern
Morphett Vale,Central metro Adelaide suburbs
Morphettville,Central metro Adelaide suburbs
Moseley,Morgan/Eyre
Mount Barker,Summit
Mount Barker Springs,Summit
Mount Burr,Mt Burr
Mount Compass,Mt Compass
Mount Gambier,Mt Gambier
Mount Mary,Morgan/Northern
Mount Osmond,Central metro Adelaide suburbs
Mount Pleasant,Mt Pleasant
Mount Torrens,Summit
Mt Barker,Summit
Mt Barker Springs,Summit
Mt Burr,Mt Burr
Mt Compass,Mt Compass
Mt Gambier,Mt Gambier
Mt Mary,Morgan/Northern
Mt Osmond,Central metro Adelaide suburbs
Mt Pleasant,Mt Pleasant
Mt Torrens,Summit
Mullaquana,Morgan/Northern
Mundoora,Morgan/Northern
Munno Para,Northern metro Adelaide suburbs
Munno Para Downs,Barossa (supplying Gawler and surrounds)
Munno Para West,Northern metro Adelaide suburbs
Murlong,Morgan/Eyre
Murputja,Murputja
Murray Bridge,Murray Bridge
Muston,Penneshaw
Mypolonga,Mypolonga
Myponga,Myponga (supplying Victor Harbor and the Fleurieu)
Myponga Beach,Myponga metro (supplying outer southern Adelaide)
Myrtle Bank,Central metro Adelaide suburbs
Nailsworth,Western metro Adelaide suburbs
Nairne,Summit
Nangwarry,Nangwarry
Napperby,Morgan/Northern
Naracoorte,Naracoorte
Narridy,Morgan/Northern
Narrung,Tailem Bend
Neales Flat,Morgan/Northern
Nectar Brook,Morgan/Northern
Nelshaby,Morgan/Northern
Nepabunna,Nepabunna
Nepean Bay,Penneshaw
Netherby,Central metro Adelaide suburbs
Netley,Central metro Adelaide suburbs
New Port,Western metro Adelaide suburbs
Newton,Eastern metro Adelaide suburbs
Ninnes,Morgan/Northern
Noarlunga Centre,Central metro Adelaide suburbs
Noarlunga Downs,Central metro Adelaide suburbs
Normanville,Myponga (supplying Victor Harbor and the Fleurieu)
North Adelaide,Western metro Adelaide suburbs
North Beach,Morgan/Northern
North Brighton,Central metro Adelaide suburbs
North Haven,Western metro Adelaide suburbs
North Plympton,Central metro Adelaide suburbs
North Shields,Eyre South
Northfield,Eastern metro Adelaide suburbs
Northgate,Eastern metro Adelaide suburbs
Norwood,Western metro Adelaide suburbs
Novar Gardens,Central metro Adelaide suburbs
Nuriootpa,Swan Reach
Nurom,Morgan/Northern
Nyapari,Murputja
Oak Valley,Oak Valley
Oakbank,Summit
Oakden,Eastern metro Adelaide suburbs
Oaklands Park,Central metro Adelaide suburbs
O'Halloran Hill,Central metro Adelaide suburbs
Old Noarlunga,Central metro Adelaide suburbs
Old Reynella,Central metro Adelaide suburbs
One Tree Hill,Northern metro Adelaide suburbs
Onkaparinga Hills,Central metro Adelaide suburbs
Oodnadatta,Oodnadatta
Orroroo,Morgan/Northern
Osborne,Western metro Adelaide suburbs
O'Sullivan Beach,Central metro Adelaide suburbs
Ottoway,Western metro Adelaide suburbs
Outer Harbor,Western metro Adelaide suburbs
Ovingham,Western metro Adelaide suburbs
Owen,Swan Reach
Padthaway,Padthaway
Palmer,Palmer
Pandurra,Morgan/Northern
Panitya,Morgan/Eyre
Panorama,Central metro Adelaide suburbs
Para Hills,Eastern metro Adelaide suburbs
Para Hills West,Northern metro Adelaide suburbs
Para Vista,Eastern metro Adelaide suburbs
Parachilna,Parachilna
Paracombe,Anstey Hill (supplying north eastern Adelaide)
Paradise,Eastern metro Adelaide suburbs
Parafield,Northern metro Adelaide suburbs
Parafield Gardens,Northern metro Adelaide suburbs
Paralowie,Northern metro Adelaide suburbs
Parham,Barossa
Parilla,Parilla
Paringa,Renmark
Park Holme,Central metro Adelaide suburbs
Parkside,Central metro Adelaide suburbs
Parndana,Middle River
Pasadena,Central metro Adelaide suburbs
Paskeville,Morgan/Northern
Paskeville,Morgan/Swan Reach
Payneham,Western metro Adelaide suburbs
Payneham South,Western metro Adelaide suburbs
Peep Hill,Morgan/Northern
Pelican Lagoon,Penneshaw
Penfield,Northern metro Adelaide suburbs
Penfield Gardens,Northern metro Adelaide suburbs
Penneshaw,Penneshaw
Pennington,Western metro Adelaide suburbs
Penola,Penola
Penwortham,Morgan/Northern
Peterborough,Morgan/Northern
Peterhead,Western metro Adelaide suburbs
Piccadilly,Summit
Pine Point,Morgan/Swan Reach
Pinkawillinie,Morgan/Eyre
Pinnaroo,Pinnaroo
Pipalyatjara,Pipalyatjara
Pirie East,Morgan/Northern
Plympton,Central metro Adelaide suburbs
Plympton Park,Central metro Adelaide suburbs
Point McLeay,Raukkan
Point Pass,Morgan/Northern
Point Pearce,Morgan/Swan Reach
Point Pearce,Pt Pearce
Point Turton,Morgan/Swan Reach
Polish Hill River,Morgan/Northern
Pompoota,Cowirra
Poochera,Eyre South/Morgan
Pooraka,Eastern metro Adelaide suburbs
Port Adelaide,Western metro Adelaide suburbs
Port Augusta,Morgan/Northern
Port Augusta West,Morgan/Northern
Port Bonython,Morgan/Northern
Port Broughton,Morgan/Northern
Port Davis,Morgan/Northern
Port Elliot,Myponga (supplying Victor Harbor and the Fleurieu)
Port Germein,Morgan/Northern
Port Hughes,Morgan/Swan Reach
Port Lincoln,Eyre South
Port MacDonnell,Port MacDonnell
Port Neill,Eyre South
Port Noarlunga,Central metro Adelaide suburbs
Port Noarlunga South,Southern metro Adelaide suburbs
Port Paterson,Morgan/Northern
Port Pirie,Morgan/Northern
Port Pirie South,Morgan/Northern
Port Pirie West,Morgan/Northern
Port Victoria,Morgan/Swan Reach
Port Vincent,Morgan/Swan Reach
Port Wakefield,Morgan/Swan Reach
Port Willunga,Southern metro Adelaide suburbs
Porter Lagoon,Morgan/Northern
Price,Morgan/Swan Reach
Prospect,Western metro Adelaide suburbs
Pt Adelaide,Western metro Adelaide suburbs
Pt Augusta,Morgan/Northern
Pt Augusta West,Morgan/Northern
Pt Bonython,Morgan/Northern
Pt Broughton,Morgan/Northern
Pt Davis,Morgan/Northern
Pt Elliot,Myponga (supplying Victor Harbor and the Fleurieu)
Pt Germein,Morgan/Northern
Pt Hughes,Morgan/Swan Reach
Pt Lincoln,Eyre South
Pt MacDonnell,Port MacDonnell
Pt Neill,Eyre South
Pt Noarlunga,Central metro Adelaide suburbs
Pt Noarlunga South,Southern metro Adelaide suburbs
Pt Paterson,Morgan/Northern
Pt Pearce,Pt Pearce
Pt Pirie,Morgan/Northern
Pt Pirie South,Morgan/Northern
Pt Pirie West,Morgan/Northern
Pt Victoria,Morgan/Swan Reach
Pt Vincent,Morgan/Swan Reach
Pt Wakefield,Morgan/Swan Reach
Pt Willunga,Southern metro Adelaide suburbs
Pukatja,Pukatja
Pygery,Eyre South/Morgan
Queenstown,Western metro Adelaide suburbs
Quorn,Quorn
Raukkan,Raukkan
Redbanks,Barossa
Redhill,Morgan/Northern
Redwood Park,Anstey Hill (supplying north eastern Adelaide)
Regency Park,Western metro Adelaide suburbs
Reid,Barossa (supplying Gawler and surrounds)
Renmark,Renmark
Renown Park,Western metro Adelaide suburbs
Reynella,Central metro Adelaide suburbs
Reynella East,Central metro Adelaide suburbs
Rhynie,Swan Reach
Richmond,Central metro Adelaide suburbs
Ridgehaven,Anstey Hill (supplying north eastern Adelaide)
Ridleyton,Western metro Adelaide suburbs
Risdon Park,Morgan/Northern
Risdon Park South,Morgan/Northern
Riverton,Swan Reach
Robe,Robe
Robertstown,Morgan/Northern
Rocky Plain,Morgan/Northern
Rose Park,Western metro Adelaide suburbs
Rosewater,Western metro Adelaide suburbs
Roseworthy,Barossa
Rosslyn Park,Eastern metro Adelaide suburbs
Rostrevor,Eastern metro Adelaide suburbs
Rowland Flat,Swan Reach
Royal Park,Western metro Adelaide suburbs
Royston Park,Western metro Adelaide suburbs
Rudall,Morgan/Eyre
Saddleworth,Swan Reach
Saint Agnes,Anstey Hill (supplying north eastern Adelaide)
Saint Clair,Western metro Adelaide suburbs
Saint Georges,Central metro Adelaide suburbs
Saint Kilda,Northern metro Adelaide suburbs
Saint Marys,Central metro Adelaide suburbs
Saint Morris,Eastern metro Adelaide suburbs
Saint Peters,Western metro Adelaide suburbs
Salisbury,Northern metro Adelaide suburbs
Salisbury Downs,Northern metro Adelaide suburbs
Salisbury East,Northern metro Adelaide suburbs
Salisbury Heights,Northern metro Adelaide suburbs
Salisbury North,Northern metro Adelaide suburbs
Salisbury Park,Northern metro Adelaide suburbs
Salisbury Plain,Northern metro Adelaide suburbs
Salisbury South,Northern metro Adelaide suburbs
Salt Creek,Tailem Bend
Sapphiretown,Penneshaw
Seacliff,Central metro Adelaide suburbs
Seacliff Park,Central metro Adelaide suburbs
Seacombe Gardens,Central metro Adelaide suburbs
Seacombe Heights,Central metro Adelaide suburbs
Seaford,Southern metro Adelaide suburbs
Seaford Heights,Southern metro Adelaide suburbs
Seaford Meadows,Southern metro Adelaide suburbs
Seaford Rise,Southern metro Adelaide suburbs
Seaton,Western metro Adelaide suburbs
Seaview Downs,Central metro Adelaide suburbs
Sedan,Swan Reach
Sefton Park,Western metro Adelaide suburbs
Sellicks Beach,Myponga metro (supplying outer southern Adelaide)
Sellicks Hill,Myponga metro (supplying outer southern Adelaide)
Semaphore,Western metro Adelaide suburbs
Semaphore Park,Western metro Adelaide suburbs
Semaphore South,Western metro Adelaide suburbs
Seppeltsfield,Swan Reach
Sevenhill,Morgan/Northern
Shea-Oak Log,Swan Reach
Sheidow Park,Central metro Adelaide suburbs
Sherlock,Tailem Bend
Skye,Eastern metro Adelaide suburbs
Smithfield,Northern metro Adelaide suburbs
Smithfield Plains,Northern metro Adelaide suburbs
Smoky Bay,Eyre South/Morgan
Snowtown,Morgan/Northern
Solomon,Morgan/Eyre
Solomontown,Morgan/Northern
Somerton Park,Central metro Adelaide suburbs
South Brighton,Central metro Adelaide suburbs
South Kilkerran,Morgan/Swan Reach
South Plympton,Central metro Adelaide suburbs
Spalding,Morgan/Northern
Spring Farm,Morgan/Northern
Springfield,Central metro Adelaide suburbs
Springton,Mt Pleasant
St Agnes,Anstey Hill (supplying north eastern Adelaide)
St Clair,Western metro Adelaide suburbs
St Georges,Central metro Adelaide suburbs
St Kilda,Northern metro Adelaide suburbs
St Marys,Central metro Adelaide suburbs
St Morris,Eastern metro Adelaide suburbs
St Peters,Western metro Adelaide suburbs
Stanley,Morgan/Northern
Stanley Flat,Morgan/Northern
Stansbury,Morgan/Swan Reach
Steinfield,Morgan/Northern
Stepney,Western metro Adelaide suburbs
Stirling,Summit
Stirling North,Morgan/Northern
Stockport,Swan Reach
Stockwell,Swan Reach
Stonyfell,Eastern metro Adelaide suburbs
Strathalbyn,Summit
Streaky Bay,Eyre South/Morgan
Sturt,Central metro Adelaide suburbs
Sunnybrae,Morgan/Northern
Surrey Downs,Anstey Hill (supplying north eastern Adelaide)
Sutherlands,Morgan/Northern
Swan Reach,Swan Reach Town
Tailem Bend,Tailem Bend
Tanunda,Swan Reach
Taperoo,Western metro Adelaide suburbs
Tarlee,Swan Reach
Tarnma,Morgan/Northern
Tarpeena,Tarpeena
