sex,year,experience_of_violence,type_of_violence,sex_of_perpetrator,relationship_with_perpetrator,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Boyfriend or date,Number,52.3,19.0,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a person,Cohabiting partner,Number,43.0,21.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Cohabiting partner,Number,40.4,22.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Intimate partner,Number,78.6,16.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Violence or emotional abuse or economic abuse,By a person,Cohabiting partner,Number,491.0,5.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All assault,By a male,Intimate partner,Number,2151.1,2.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All assault,By a male,Cohabiting partner,Number,1561.7,2.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All assault,By a male,Boyfriend or date,Number,832.5,4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All threat,By a male,Boyfriend or date,Number,172.7,11.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All threat,By a male,Intimate partner,Number,562.6,6.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All threat,By a male,Cohabiting partner,Number,411.2,6.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All violence,By a person,Boyfriend/girlfriend or date,Number,920.3,4.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All violence,By a person,Cohabiting partner,Number,1670.4,2.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Intimate partner,Number,2275.5,2.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All violence,By a person,Intimate partner,Number,2313.3,2.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Cohabiting partner,Number,1649.1,2.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Boyfriend or date,Number,905.7,4.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Economic abuse,By a person,Cohabiting partner,Number,1617.8,3.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Emotional abuse,By a person,Cohabiting partner,Number,2272.1,2.4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Physical assault,By a female,Cohabiting partner,Number,21.8,29.0,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence since age 15,Physical assault,By a male,Boyfriend or date,Number,374.6,7.2,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Physical assault,By a male,Cohabiting partner,Number,1366.4,3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Physical assault,By a male,Intimate partner,Number,1665.3,2.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Physical assault,By a female,Intimate partner,Number,41.6,24.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Physical threat,By a male,Intimate partner,Number,430.9,6,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Physical threat,By a female,Intimate partner,Number,5.8,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence since age 15,Physical threat,By a male,Cohabiting partner,Number,347.5,6.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Physical threat,By a male,Boyfriend or date,Number,88.8,17,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Physical threat,By a female,Cohabiting partner,Number,3.1,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence since age 15,Physical violence,By a male,Cohabiting partner,Number,1452.5,2.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Physical violence,By a male,Intimate partner,Number,1772.7,2.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Physical violence,By a male,Boyfriend or date,Number,419.5,7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Physical violence,By a female,Intimate partner,Number,46.1,21.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Physical violence,By a person,Cohabiting partner,Number,1475.8,2.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Physical violence,By a female,Cohabiting partner,Number,21.9,29.5,n.a.,n.a.,n.a.,*
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Cohabiting partner,Number,563.3,5.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Boyfriend or date,Number,580.0,5.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Intimate partner,Number,1040.9,4,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Intimate partner,Number,179.7,10.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Cohabiting partner,Number,97.7,14.3,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Boyfriend or date,Number,86.8,13.7,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Cohabiting partner,Number,608.8,5,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Intimate partner,Number,1128.8,3.9,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Boyfriend or date,Number,625.9,4.8,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a person,Cohabiting partner,Number,618.5,5.1,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Violence or emotional abuse or economic abuse,By a person,Cohabiting partner,Number,2701.6,1.9,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence in the last 12 months,All violence,By a person,Intimate partner,Number,55.0,44.4,n.a.,n.a.,n.a.,*
Males,2021-22,Experienced violence in the last 12 months,All violence,By a person,Boyfriend/girlfriend/date,Number,8.6,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence in the last 12 months,All violence,By a person,Cohabiting partner,Number,45.9,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence in the last 12 months,Economic abuse,By a person,Cohabiting partner,Number,85.4,27.9,n.a.,n.a.,n.a.,*
Males,2021-22,Experienced violence in the last 12 months,Emotional abuse,By a person,Cohabiting partner,Number,237.4,18.7,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence in the last 12 months,Physical violence,By a person,Cohabiting partner,Number,45.9,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence in the last 12 months,Sexual violence,By a person,Cohabiting partner,Number,—,n.p.,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence in the last 12 months,Violence or emotional abuse or economic abuse,By a person,Cohabiting partner,Number,249.1,19.4,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence since age 15,All violence,By a person,Intimate partner,Number,692.6,13.0,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence since age 15,All violence,By a person,Cohabiting partner,Number,526.6,14.5,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence since age 15,All violence,By a person,Boyfriend/girlfriend or date,Number,224.0,26.4,n.a.,n.a.,n.a.,*
Males,2021-22,Experienced violence since age 15,Economic abuse,By a person,Cohabiting partner,Number,745.0,13.7,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence since age 15,Emotional abuse,By a person,Cohabiting partner,Number,1321.5,9.2,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence since age 15,Physical assault,By a female,Girlfriend/date,Number,114.6,34.7,n.a.,n.a.,n.a.,*
Males,2021-22,Experienced violence since age 15,Physical assault,By a male,Intimate partner,Number,35.7,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence since age 15,Physical assault,By a female,Intimate partner,Number,560.5,15.1,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence since age 15,Physical assault,By a female,Cohabiting partner,Number,459.6,16.8,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence since age 15,Physical violence,By a person,Cohabiting partner,Number,503.3,15.7,n.a.,n.a.,n.a.,
Males,2021-22,Experienced violence since age 15,Sexual violence,By a person,Cohabiting partner,Number,66.3,n.p.,n.a.,n.a.,n.a.,**
Males,2021-22,Experienced violence since age 15,Violence or emotional abuse or economic abuse,By a person,Cohabiting partner,Number,1457.8,8.5,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,All violence,By a person,Cohabiting partner,Number,2204.2,3.7,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,All violence,By a person,Intimate partner,Number,3010.3,3.3,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,All violence,By a person,Boyfriend/girlfriend or date,Number,1137.9,6.7,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,Economic abuse,By a person,Cohabiting partner,Number,2362.4,4.5,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,Emotional abuse,By a person,Cohabiting partner,Number,3589.7,3.6,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,Physical violence,By a person,Cohabiting partner,Number,1977.5,4.2,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,Sexual violence,By a person,Cohabiting partner,Number,686.7,6.5,n.a.,n.a.,n.a.,
Persons,2021-22,Experienced violence since age 15,Violence or emotional abuse or economic abuse,By a person,Cohabiting partner,Number,4153.1,3.1,n.a.,n.a.,n.a.,
Females,2005,Experienced violence in the last 12 months,All violence,By a person,Intimate partner,Proportion,2.3,7.6,0.3,2.0,2.6,
Females,2005,Experienced violence in the last 12 months,All violence,By a person,Cohabiting partner,Proportion,1.5,9.8,0.3,1.2,1.8,
Females,2005,Experienced violence in the last 12 months,Emotional abuse,By a person,Cohabiting partner,Proportion,n.a.,n.a.,n.a.,n.a.,n.a.,
Females,2005,Experienced violence in the last 12 months,Physical violence,By a person,Cohabiting partner,Proportion,1.2,9.5,0.2,1.0,1.4,
Females,2005,Experienced violence in the last 12 months,Sexual violence,By a person,Cohabiting partner,Proportion,0.4,17.7,0.1,0.3,0.5,
Females,2012,Experienced violence in the last 12 months,All violence,By a person,Intimate partner,Proportion,2.1,8.6,0.4,1.7,2.5,
Females,2012,Experienced violence in the last 12 months,All violence,By a person,Cohabiting partner,Proportion,1.5,10.0,0.3,1.2,1.8,
Females,2012,Experienced violence in the last 12 months,Emotional abuse,By a person,Cohabiting partner,Proportion,4.7,5.6,0.5,4.2,5.2,
Females,2012,Experienced violence in the last 12 months,Physical violence,By a person,Cohabiting partner,Proportion,1.4,9.8,0.3,1.1,1.7,
Females,2012,Experienced violence in the last 12 months,Sexual violence,By a person,Cohabiting partner,Proportion,0.3,21.8,0.1,0.2,0.4,
Females,2016,Experienced violence in the last 12 months,All violence,By a person,Cohabiting partner,Proportion,1.7,9.6,0.3,1.4,2.0,
Females,2016,Experienced violence in the last 12 months,All violence,By a person,Intimate partner,Proportion,2.3,9.1,0.4,1.9,2.7,
Females,2016,Experienced violence in the last 12 months,Emotional abuse,By a person,Cohabiting partner,Proportion,4.8,5.4,0.5,4.3,5.3,
Females,2016,Experienced violence in the last 12 months,Physical violence,By a person,Cohabiting partner,Proportion,1.3,11.8,0.3,1.0,1.6,
Females,2016,Experienced violence in the last 12 months,Sexual violence,By a person,Cohabiting partner,Proportion,0.5,20.4,0.2,0.3,0.7,
Females,2021-22,Experienced violence in the last 12 months,All assault,By a male,Cohabiting partner,Proportion,0.9,15.5,0.3,0.6,1.2,
Females,2021-22,Experienced violence in the last 12 months,All assault,By a male,Intimate partner,Proportion,1.3,14.0,0.4,0.9,1.7,
Females,2021-22,Experienced violence in the last 12 months,All assault,By a male,Boyfriend or date,Proportion,0.6,20.6,0.2,0.4,0.8,
Females,2021-22,Experienced violence in the last 12 months,All threat,By a male,Intimate partner,Proportion,0.3,26.3,0.2,0.1,0.5,*
Females,2021-22,Experienced violence in the last 12 months,All threat,By a male,Cohabiting partner,Proportion,0.2,31.8,0.1,0.1,0.3,*
Females,2021-22,Experienced violence in the last 12 months,All threat,By a male,Boyfriend or date,Proportion,0.1,40.0,0.1,0.0,0.2,*
Females,2021-22,Experienced violence in the last 12 months,All violence,By a person,Cohabiting partner,Proportion,0.9,16.1,0.3,0.6,1.2,^
Females,2021-22,Experienced violence in the last 12 months,All violence,By a male,Cohabiting partner,Proportion,0.9,15.3,0.3,0.6,1.2,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a male,Intimate partner,Proportion,1.4,12.8,0.4,1.0,1.8,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a person,Boyfriend/girlfriend/date,Proportion,0.7,18.9,0.3,0.4,1.0,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a male,Boyfriend or date,Proportion,0.7,18.9,0.3,0.4,1.0,
Females,2021-22,Experienced violence in the last 12 months,All violence,By a person,Intimate partner,Proportion,1.5,13.2,0.4,1.1,1.9,^
Females,2021-22,Experienced violence in the last 12 months,Economic abuse,By a person,Cohabiting partner,Proportion,2.3,8.3,0.4,1.9,2.7,
Females,2021-22,Experienced violence in the last 12 months,Emotional abuse,By a person,Cohabiting partner,Proportion,3.9,6.6,0.5,3.4,4.4,
Females,2021-22,Experienced violence in the last 12 months,Physical assault,By a male,Intimate partner,Proportion,0.7,17.3,0.2,0.5,0.9,
Females,2021-22,Experienced violence in the last 12 months,Physical assault,By a male,Boyfriend or date,Proportion,0.2,43.3,0.2,0.0,0.4,*
Females,2021-22,Experienced violence in the last 12 months,Physical assault,By a male,Cohabiting partner,Proportion,0.6,16.1,0.2,0.4,0.8,
Females,2021-22,Experienced violence in the last 12 months,Physical threat,By a male,Boyfriend or date,Proportion,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Physical threat,By a male,Cohabiting partner,Proportion,0.1,47.1,0.1,0.0,0.2,*
Females,2021-22,Experienced violence in the last 12 months,Physical threat,By a male,Intimate partner,Proportion,0.2,29.5,0.1,0.1,0.3,*
Females,2021-22,Experienced violence in the last 12 months,Physical violence,By a person,Cohabiting partner,Proportion,0.7,16.8,0.2,0.5,0.9,
Females,2021-22,Experienced violence in the last 12 months,Physical violence,By a male,Boyfriend or date,Proportion,0.2,38.6,0.2,0.0,0.4,*
Females,2021-22,Experienced violence in the last 12 months,Physical violence,By a male,Cohabiting partner,Proportion,0.6,16.3,0.2,0.4,0.8,
Females,2021-22,Experienced violence in the last 12 months,Physical violence,By a male,Intimate partner,Proportion,0.8,15.3,0.2,0.6,1.0,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Boyfriend or date,Proportion,0.4,22.7,0.2,0.2,0.6,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Intimate partner,Proportion,0.8,17.1,0.3,0.5,1.1,
Females,2021-22,Experienced violence in the last 12 months,Sexual assault,By a male,Cohabiting partner,Proportion,0.4,23.7,0.2,0.2,0.6,
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Boyfriend or date,Proportion,0.1,40.8,0.1,0.0,0.2,*
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Cohabiting partner,Proportion,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence in the last 12 months,Sexual threat,By a male,Intimate partner,Proportion,0.1,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Intimate partner,Proportion,0.8,16.4,0.3,0.5,1.1,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a person,Cohabiting partner,Proportion,0.4,21.1,0.2,0.2,0.6,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Boyfriend or date,Proportion,0.5,19.0,0.2,0.3,0.7,
Females,2021-22,Experienced violence in the last 12 months,Sexual violence,By a male,Cohabiting partner,Proportion,0.4,22.4,0.2,0.2,0.6,
Females,2021-22,Experienced violence in the last 12 months,Violence or emotional abuse or economic abuse,By a person,Cohabiting partner,Proportion,5.0,5.7,0.6,4.4,5.6,
Females,2021-22,Experienced violence since age 15,All assault,By a male,Intimate partner,Proportion,21.7,2.4,1.0,20.7,22.7,
Females,2021-22,Experienced violence since age 15,All assault,By a male,Cohabiting partner,Proportion,15.8,2.8,0.9,14.9,16.7,
Females,2021-22,Experienced violence since age 15,All assault,By a male,Boyfriend or date,Proportion,8.4,4,0.7,7.7,9.1,
Females,2021-22,Experienced violence since age 15,All threat,By a male,Intimate partner,Proportion,5.7,6.1,0.7,5.0,6.4,
Females,2021-22,Experienced violence since age 15,All threat,By a male,Cohabiting partner,Proportion,4.1,6.8,0.5,3.6,4.6,
Females,2021-22,Experienced violence since age 15,All threat,By a male,Boyfriend or date,Proportion,1.7,11.8,0.4,1.3,2.1,
Females,2021-22,Experienced violence since age 15,All violence,By a person,Intimate partner,Proportion,23.3,2.4,1.1,22.2,24.4,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Intimate partner,Proportion,23,2.4,1.1,21.9,24.1,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Cohabiting partner,Proportion,16.6,2.7,0.9,15.7,17.5,
Females,2021-22,Experienced violence since age 15,All violence,By a person,Boyfriend/girlfriend or date,Proportion,9.3,4.1,0.7,8.6,10.0,
Females,2021-22,Experienced violence since age 15,All violence,By a male,Boyfriend or date,Proportion,9.1,4.1,0.7,8.4,9.8,
Females,2021-22,Experienced violence since age 15,All violence,By a person,Cohabiting partner,Proportion,16.9,2.7,0.9,16.0,17.8,
Females,2021-22,Experienced violence since age 15,Economic abuse,By a person,Cohabiting partner,Proportion,16.3,3.1,1.0,15.3,17.3,
Females,2021-22,Experienced violence since age 15,Emotional abuse,By a person,Cohabiting partner,Proportion,22.9,2.4,1.1,21.8,24.0,
Females,2021-22,Experienced violence since age 15,Physical assault,By a female,Intimate partner,Proportion,0.4,24.3,0.2,0.2,0.6,
Females,2021-22,Experienced violence since age 15,Physical assault,By a male,Intimate partner,Proportion,16.8,2.7,0.9,15.9,17.7,
Females,2021-22,Experienced violence since age 15,Physical assault,By a male,Boyfriend or date,Proportion,3.8,7.2,0.5,3.3,4.3,
Females,2021-22,Experienced violence since age 15,Physical assault,By a female,Cohabiting partner,Proportion,0.2,29.0,0.1,0.1,0.3,*
Females,2021-22,Experienced violence since age 15,Physical assault,By a male,Cohabiting partner,Proportion,13.8,3,0.8,13.0,14.6,
Females,2021-22,Experienced violence since age 15,Physical threat,By a male,Cohabiting partner,Proportion,3.5,6.8,0.5,3.0,4.0,
Females,2021-22,Experienced violence since age 15,Physical threat,By a male,Boyfriend or date,Proportion,0.9,17,0.3,0.6,1.2,
Females,2021-22,Experienced violence since age 15,Physical threat,By a male,Intimate partner,Proportion,4.3,6,0.5,3.8,4.8,
Females,2021-22,Experienced violence since age 15,Physical threat,By a female,Intimate partner,Proportion,0.1,n.p.,n.a.,n.a.,n.a.,**
Females,2021-22,Experienced violence since age 15,Physical threat,By a female,Cohabiting partner,Proportion,—,n.p.,n.a.,n.a.,n.a.,
Females,2021-22,Experienced violence since age 15,Physical violence,By a person,Cohabiting partner,Proportion,14.9,2.8,0.8,14.1,15.7,
Females,2021-22,Experienced violence since age 15,Physical violence,By a male,Cohabiting partner,Proportion,14.7,2.7,0.8,13.9,15.5,
Females,2021-22,Experienced violence since age 15,Physical violence,By a female,Intimate partner,Proportion,0.5,21.8,0.2,0.3,0.7,
Females,2021-22,Experienced violence since age 15,Physical violence,By a male,Intimate partner,Proportion,17.9,2.7,0.9,17.0,18.8,
Females,2021-22,Experienced violence since age 15,Physical violence,By a female,Cohabiting partner,Proportion,0.2,29.5,0.1,0.1,0.3,*
Females,2021-22,Experienced violence since age 15,Physical violence,By a male,Boyfriend or date,Proportion,4.2,7,0.6,3.6,4.8,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Cohabiting partner,Proportion,5.7,5.1,0.6,5.1,6.3,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Intimate partner,Proportion,10.5,4,0.8,9.7,11.3,
Females,2021-22,Experienced violence since age 15,Sexual assault,By a male,Boyfriend or date,Proportion,5.9,5.1,0.6,5.3,6.5,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Cohabiting partner,Proportion,1,14.3,0.3,0.7,1.3,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Boyfriend or date,Proportion,0.9,13.7,0.2,0.7,1.1,
Females,2021-22,Experienced violence since age 15,Sexual threat,By a male,Intimate partner,Proportion,1.8,10.9,0.4,1.4,2.2,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Intimate partner,Proportion,11.4,3.9,0.9,10.5,12.3,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Cohabiting partner,Proportion,6.1,5,0.6,5.5,6.7,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a male,Boyfriend or date,Proportion,6.3,4.8,0.6,5.7,6.9,
Females,2021-22,Experienced violence since age 15,Sexual violence,By a person,Cohabiting partner,Proportion,6.2,5.1,0.6,5.6,6.8,
Females,2021-22,Experienced violence since age 15,Violence or emotional abuse or economic abuse,By a person,Cohabiting partner,Proportion,27.3,1.9,1.0,26.3,28.3,
Males,2005,Experienced violence in the last 12 months,All violence,By a person,Intimate partner,Proportion,0.8,22.3,0.3,0.5,1.1,
Males,2005,Experienced violence in the last 12 months,All violence,By a person,Cohabiting partner,Proportion,0.4,25.5,0.2,0.2,0.6,*
Males,2005,Experienced violence in the last 12 months,Emotional abuse,By a person,Cohabiting partner,Proportion,n.a.,n.a.,n.a.,n.a.,n.a.,
Males,2005,Experienced violence in the last 12 months,Physical violence,By a person,Cohabiting partner,Proportion,0.3,26.1,0.2,0.1,0.5,*
Males,2005,Experienced violence in the last 12 months,Sexual violence,By a person,Cohabiting partner,Proportion,—,n.p.,n.a.,n.a.,n.a.,
Males,2012,Experienced violence in the last 12 months,All violence,By a person,Intimate partner,Proportion,0.9,16.8,0.3,0.6,1.2,
Males,2012,Experienced violence in the last 12 months,All violence,By a person,Cohabiting partner,Proportion,0.6,21.6,0.3,0.3,0.9,*
Males,2012,Experienced violence in the last 12 months,Emotional abuse,By a person,Cohabiting partner,Proportion,2.8,9.4,0.5,2.3,3.3,
Males,2012,Experienced violence in the last 12 months,Physical violence,By a person,Cohabiting partner,Proportion,0.6,23.2,0.3,0.3,0.9,
Males,2012,Experienced violence in the last 12 months,Sexual violence,By a person,Cohabiting partner,Proportion,0.1,n.p.,n.a.,n.a.,n.a.,**
Males,2016,Experienced violence in the last 12 months,All violence,By a person,Cohabiting partner,Proportion,0.8,18.8,0.3,0.5,1.1,
Males,2016,Experienced violence in the last 12 months,All violence,By a person,Intimate partner,Proportion,1.3,16.0,0.4,0.9,1.7,
Males,2016,Experienced violence in the last 12 months,Emotional abuse,By a person,Cohabiting partner,Proportion,4.2,8.5,0.7,3.5,4.9,
Males,2016,Experienced violence in the last 12 months,Physical violence,By a person,Cohabiting partner,Proportion,0.8,19.1,0.3,0.5,1.1,
Males,2016,Experienced violence in the last 12 months,Sexual violence,By a person,Cohabiting partner,Proportion,0.1,45.9,0.1,0.0,0.2,*
